Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Web/Transfer/btn_submit""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:42,13-05-2026 16:25:43,0.338s,PASSED
"waitForElementPresent(findTestObject(""Web/Transfer/lbl_successTransfer""), 5)",Chrome 147.0.7727.138,,,13-05-2026 16:25:43,13-05-2026 16:25:43,0.682s,PASSED
"verifyElementText(findTestObject(""Web/Transfer/lbl_successTransfer""), ""Transfer Complete!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:43,13-05-2026 16:25:44,0.277s,PASSED
"takeScreenshot(screenshotPath + ""TC TRF-01 Transfer Success.png"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:44,13-05-2026 16:25:44,0.359s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,13-05-2026 16:25:44,13-05-2026 16:25:44,0.319s,PASSED
"println(""TC-TRF-01 -Transfer Pass!"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:44,13-05-2026 16:25:44,0.001s,PASSED
,,,,,,,
Test Cases/Web/Transfer Found/TC TRF-02,Chrome 147.0.7727.138,,,13-05-2026 16:25:44,13-05-2026 16:25:57,12.178s,FAILED
"common.WebHelper.login(""Haryadi01"", ""qwerty123"")",Chrome 147.0.7727.138,,,13-05-2026 16:25:45,13-05-2026 16:25:51,6.037s,PASSED
"click(findTestObject(""Web/Home/link_transfer""))",Chrome 147.0.7727.138,,,13-05-2026 16:25:51,13-05-2026 16:25:52,1.150s,PASSED
"setText(findTestObject(""Web/Transfer/txt_amount""), """")",Chrome 147.0.7727.138,,,13-05-2026 16:25:52,13-05-2026 16:25:53,1.015s,PASSED
driver = getWebDriver(),Chrome 147.0.7727.138,,,13-05-2026 16:25:53,13-05-2026 16:25:53,0.001s,PASSED
selectElementFrom = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.cssSelector(#fromAccountId))),Chrome 147.0.7727.138,,,13-05-2026 16:25:53,13-05-2026 16:25:53,0.302s,PASSED
